time,value
0:00:56.270000,0.420072
0:00:56.293000,0.417294
0:00:56.315000,0.429781
0:00:56.338000,0.413767
0:00:56.362000,0.406816
0:00:56.385000,0.406528
0:00:56.411000,0.404704
0:00:56.434000,0.404132
0:00:56.457000,0.404686
0:00:56.480000,0.406045
0:00:56.506000,0.406435
0:00:56.529000,0.406095
0:00:56.552000,0.406072
0:00:56.574000,0.406179
0:00:56.597000,0.406147
0:00:56.621000,0.407971
0:00:56.645000,0.405951
0:00:56.670000,0.406179
0:00:56.691000,0.405319
0:00:56.712000,0.407621
0:00:56.736000,0.404867
0:00:56.758000,0.406137
0:00:56.780000,0.406291
0:00:56.802000,0.405598
0:00:56.826000,0.405914
0:00:56.848000,0.406137
0:00:56.869000,0.406556
0:00:56.893000,0.406058
0:00:56.915000,0.405798
0:00:56.936000,0.406235
0:00:56.959000,0.406281
0:00:56.983000,0.405970
0:00:57.005000,0.406300
0:00:57.028000,0.406007
0:00:57.052000,0.406184
0:00:57.074000,0.407091
0:00:57.096000,0.406309
0:00:57.122000,0.405639
0:00:57.145000,0.405425
0:00:57.167000,0.404728
0:00:57.191000,0.406035
0:00:57.214000,0.407138
0:00:57.236000,0.406594
0:00:57.260000,0.405286
0:00:57.282000,0.405416
0:00:57.304000,0.406942
0:00:57.328000,0.404430
0:00:57.352000,0.404625
0:00:57.374000,0.404811
0:00:57.396000,0.406109
0:00:57.421000,0.406379
0:00:57.445000,0.406133
0:00:57.469000,0.406421
0:00:57.495000,0.405988
0:00:57.522000,0.405956
0:00:57.543000,0.405891
0:00:57.566000,0.406663
0:00:57.588000,0.404634
0:00:57.610000,0.404663
0:00:57.632000,0.404602
0:00:57.657000,0.406082
0:00:57.680000,0.405514
0:00:57.702000,0.406044
0:00:57.727000,0.407282
0:00:57.749000,0.404350
0:00:57.773000,0.404904
0:00:57.796000,0.404602
0:00:57.819000,0.405742
0:00:57.841000,0.405472
0:00:57.863000,0.405937
0:00:57.887000,0.406416
0:00:57.909000,0.406072
0:00:57.932000,0.405737
0:00:57.957000,0.405779
0:00:57.980000,0.404504
0:00:58.004000,0.404360
0:00:58.029000,0.404667
0:00:58.052000,0.406496
0:00:58.074000,0.405379
0:00:58.097000,0.422100
0:00:58.123000,0.405798
0:00:58.146000,0.406170
0:00:58.167000,0.406091
0:00:58.191000,0.405928
0:00:58.215000,0.405830
0:00:58.237000,0.406332
0:00:58.260000,0.405956
0:00:58.283000,0.404541
0:00:58.305000,0.404941
0:00:58.327000,0.404658
0:00:58.352000,0.406184
0:00:58.375000,0.407496
